num_sommet; nom_sommet; numéro_ligne; si_terminus; branchement (0 stations en commun, 1 pour la direction 1,  2 pour la direction 2, ainsi  de suite ...)
152; La Courneuve, 8 Mai 1945 ;7 ;True; 0
153; La Fourche ;13 ;False; 0
154; La Motte Picquet, Grenelle ;10 ;False; 0
155; La Motte Picquet, Grenelle ;6 ;False; 0
156; La Motte Picquet, Grenelle ;8 ;False; 0
157; La Muette ;9 ;False; 0
158; La Tour-Maubourg ;8 ;False; 0
159; Lamarck Caulaincourt ;12 ;False; 0
160; Laumière ;5 ;False; 0
161; Le Kremlin-Bicêtre ;7 ;False; 2
162; Le Peletier ;7 ;False; 0
163; Ledru Rollin ;8 ;False; 0
164; Les Gobelins ;7 ;False; 0
165; Les Halles ;4 ;False; 0
166; Les Sablons ;1 ;False; 0
167; Liberté ;8 ;False; 0
168; Liège ;13 ;False; 0
169; Louis Blanc ;7 ;False; 0
170; Louis Blanc ;7bis ;True; 0
171; Louise Michel ;3 ;False; 0
172; Lourmel ;8 ;False; 0
173; Louvre, Rivoli ;1 ;False; 0
174; Mabillon ;10 ;False; 0
175; Madeleine ;12 ;False; 0
176; Madeleine ;14 ;True; 0
177; Madeleine ;8 ;False; 0
178; Mairie d'Issy ;12 ;True; 0
179; Mairie d'Ivry ;7 ;True; 1
180; Mairie de Clichy ;13 ;False; 2
181; Mairie de Montreuil ;9 ;True; 0
182; Mairie de Saint-Ouen ;13 ;False; 1
183; Mairie des Lilas ;11 ;True; 0
184; Maison Blanche ;7 ;False; 0
185; Maisons-Alfort les Juilliottes ;8 ;False; 0
186; Maisons-Alfort, Stade ;8 ;False; 0
187; Malakoff-Plateau de Vanves ;13 ;False; 0
188; Malakoff-Rue Étienne Dolet ;13 ;False; 0
189; Malesherbes ;3 ;False; 0
190; Maraîchers ;9 ;False; 0
191; Marcadet Poissonniers ;12 ;False; 0
192; Marcadet Poissonniers ;4 ;False; 0
193; Marcel Sembat ;9 ;False; 0
194; Marx Dormoy ;12 ;False; 0
195; Maubert Mutualité ;10 ;False; 0
196; Michel Ange Auteuil ;10 ;False; 0
197; Michel Ange Auteuil ;9 ;False; 0
198; Michel Ange Molitor ;10 ;False; 0
199; Michel Ange Molitor ;9 ;False; 0
200; Michel Bizot ;8 ;False; 0
201; Mirabeau ;10 ;False; 0
202; Miromesnil ;13 ;False; 0
203; Miromesnil ;9 ;False; 0
204; Monceau ;2 ;False; 0
205; Montgallet ;8 ;False; 0
206; Montparnasse Bienvenue ;12 ;False; 0
207; Montparnasse Bienvenue ;13 ;False; 0
208; Montparnasse Bienvenue ;4 ;False; 0
209; Montparnasse Bienvenue ;6 ;False;  0
210; Mouton-Duvernet ;4 ;False; 0
211; Ménilmontant ;2 ;False; 0
212; Nation ;1 ;False; 0
213; Nation ;2 ;True; 0
214; Nation ;6 ;True; 0
215; Nation ;9 ;False; 0
216; Nationale ;6 ;False; 0
217; Notre Dame de Lorette ;12 ;False; 0
218; Notre-Dame-des-Champs ;12 ;False; 0
219; Oberkampf ;5 ;False; 0
220; Oberkampf ;9 ;False; 0
221; Odéon ;10 ;False; 0
222; Odéon ;4 ;False; 0
223; Opéra ;3 ;False; 0
224; Opéra ;7 ;False; 0
225; Opéra ;8 ;False; 0
226; Ourcq ;5 ;False; 0
227; Palais Royal, Musée du Louvre ;1 ;False; 0
228; Palais Royal, Musée du Louvre ;7 ;False; 0
229; Parmentier ;3 ;False; 0
230; Passy ;6 ;False; 0
231; Pasteur ;12 ;False; 0
232; Pasteur ;6 ;False; 0
233; Pelleport ;3bis ;False; 0
234; Pernety ;13 ;False; 0
235; Philippe-Auguste ;2 ;False; 0
236; Picpus ;6 ;False; 0
237; Pierre Curie ;7 ;False; 1
238; Pigalle ;12 ;False; 0
239; Pigalle ;2 ;False; 0
240; Place Balard ;8 ;True; 0
241; Place Monge ;7 ;False; 0
242; Place d'Italie ;5 ;True; 0
243; Place d'Italie ;6 ;False; 0
244; Place d'Italie ;7 ;False; 0
245; Place de Clichy ;13 ;False; 0
246; Place de Clichy ;2 ;False; 0
247; Place des Fêtes ;11 ;False; 0
248; Place des Fêtes ;7bis ;False; 0
249; Plaisance ;13 ;False; 0
250; Poissonnière ;7 ;False; 0
251; Pont de Levallois, Bécon ;3 ;True; 0
252; Pont de Neuilly ;1 ;False; 0
253; Pont de Sèvres ;9 ;True; 0
254; Pont-Marie ;7 ;False; 0
255; Pont-Neuf ;7 ;False; 0
256; Porte Dauphine ;2 ;True; 0
257; Porte Dorée ;8 ;False; 0
258; Porte Maillot ;1 ;False; 0
259; Porte d'Auteuil ;10 ;False; 0
260; Porte d'Italie ;7 ;False; 1
261; Porte d'Ivry ;7 ;False; 1
262; Porte d'Orléans ;4 ;True; 0
263; Porte de Bagnolet ;3 ;False; 0
264; Porte de Champerret ;3 ;False; 0
265; Porte de Charenton ;8 ;False; 0
266; Porte de Choisy ;7 ;False; 1
267; Porte de Clichy ;13 ;False; 2
268; Porte de Clignancourt ;4 ;True; 0
269; Porte de Montreuil ;9 ;False; 0
270; Porte de Pantin ;5 ;False; 0
271; Porte de Saint-Cloud ;9 ;False; 0
272; Porte de Saint-Ouen ;13 ;False; 1
273; Porte de Vanves ;13 ;False; 0
274; Porte de Versailles ;12 ;False; 0
275; Porte de Vincennes ;1 ;False; 0
276; Porte de la Chapelle ;12 ;True; 0
277; Porte de la illette ;7 ;False; 0
278; Porte des Lilas ;11 ;False; 0
279; Porte des Lilas ;3bis ;True; 0
280; Pré-Saint-Gervais ;7bis ;True; 0
281; Pyramides ;14 ;False; 0
282; Pyramides ;7 ;False; 0
283; Pyrénées ;11 ;False; 0
284; Père Lachaise ;2 ;False; 0
285; Père Lachaise ;3 ;False; 0
286; Péreire ;3 ;False; 0
287; Quai de la Gare ;6 ;False; 0
288; Quai de la Rapée ;5 ;False; 0
289; Quatre Septembre ;3 ;False; 0
290; Rambuteau ;11 ;False; 0
291; Ranelagh ;9 ;False; 0
292; Raspail ;4 ;False; 0
293; Raspail ;6 ;False; 0
294; Rennes ;12 ;False; 0
295; Reuilly Diderot ;1 ;False; 0
296; Reuilly Diderot ;8 ;False; 0
297; Richard Lenoir ;5 ;False; 0
298; Richelieu Drouot ;8 ;False; 0
299; Richelieu Drouot ;9 ;False; 0
300; Riquet ;7 ;False; 0
301; Robespierre ;9 ;False; 0
302; Rome ;2 ;False; 0
303; Rue Montmartre, Grands Boulevards ;8 ;False; 0
304; Rue Montmartre, Grands Boulevards ;9 ;False; 0
305; Rue Saint-Maur ;3 ;False; 0
306; Rue de la Pompe ;9 ;False; 0
307; Rue des Boulets ;9 ;False; 0
308; Rue du Bac ;12 ;False; 0
309; Réaumur Sébastopol ;3 ;False; 0
310; Réaumur Sébastopol ;4 ;False; 0
311; République ;11 ;False; 0
312; République ;3 ;False; 0
313; République ;5 ;False; 0
314; République ;8 ;False; 0
315; République ;9 ;False; 0
316; Saint-Ambroise ;9 ;False; 0
317; Saint-Augustin ;9 ;False; 0
318; Saint-Denis-Porte de Paris ;13 ;False; 1
319; Saint-Denis-Université ;13 ;True; 1
320; Saint-Fargeau ;3bis ;False; 0
321; Saint-Francois Xavier ;13 ;False; 0
322; Saint-Georges ;12 ;False; 0
323; Saint-Germain-des-Prés ;4 ;False; 0
324; Saint-Jacques ;6 ;False; 0
325; Saint-Lazare ;12 ;False; 0
